word,wins,total,win_rate,deviation,ci_lo,ci_hi,ci_half
enabling,62,101,0.6138613861386139,0.11386138613861385,0.5164020139158059,0.702976848785217,0.09328741743470559
ensures,133,219,0.6073059360730594,0.10730593607305938,0.5413113057595218,0.6696009735296649,0.06414483388507153
vulnerability,79,131,0.6030534351145038,0.10305343511450382,0.5174843764419536,0.6827507755368108,0.08263319954742865
power,129,215,0.6,0.09999999999999998,0.5333142987711554,0.663174978131498,0.06493033968017126
culture,75,125,0.6,0.09999999999999998,0.5123745945370625,0.6816623267212721,0.08464386609210484
just,130,218,0.5963302752293578,0.09633027522935778,0.5300777192560878,0.6592466758469347,0.06458447829542346
fundamental,61,103,0.5922330097087378,0.09223300970873782,0.4956761254395168,0.6821574628484024,0.09324066870444281
remains,137,232,0.5905172413793104,0.09051724137931039,0.5262671156919518,0.6518186212688759,0.06277575278846204
stability,64,109,0.5871559633027523,0.08715596330275233,0.4932991419382305,0.6750786883253,0.09088977319353478
shift,61,104,0.5865384615384616,0.08653846153846156,0.4904608112857476,0.6764508773805589,0.09299503304740564
course,61,104,0.5865384615384616,0.08653846153846156,0.4904608112857476,0.6764508773805589,0.09299503304740564
between,154,263,0.5855513307984791,0.0855513307984791,0.5251998490645802,0.6434396127299906,0.05911988183270522
compromised,62,106,0.5849056603773585,0.08490566037735847,0.4897414310888927,0.6741311193420271,0.0921948441265672
growth,69,118,0.5847457627118644,0.0847457627118644,0.49453649386124565,0.6696112452874842,0.08753737571311926
greater,126,216,0.5833333333333334,0.08333333333333337,0.516691167918266,0.6470632039509734,0.06518601801635371
depth,78,135,0.5777777777777777,0.07777777777777772,0.4934416129305894,0.6578100389777954,0.08218421302360301
humans,71,123,0.5772357723577236,0.07723577235772361,0.4888955661133758,0.6608977284186497,0.08600108115263694
empirical,64,111,0.5765765765765766,0.07657657657657657,0.48361078489950715,0.6644193792465499,0.09040429717352139
distress,64,111,0.5765765765765766,0.07657657657657657,0.48361078489950715,0.6644193792465499,0.09040429717352139
ideas,76,132,0.5757575757575758,0.0757575757575758,0.4904765651820479,0.6567538913636176,0.08313866309078485
disclose,61,106,0.5754716981132075,0.07547169811320753,0.4803608851671633,0.6653036041047655,0.09247135946880111
sense,92,160,0.575,0.07499999999999996,0.49752656892273883,0.6489565018015353,0.07571496643939823
preventing,146,254,0.5748031496062992,0.07480314960629919,0.5133354845012685,0.6340419007097948,0.060353208104263145
nature,79,138,0.572463768115942,0.07246376811594202,0.48906212405330773,0.6519403738502323,0.08143912489846228
strict,79,138,0.572463768115942,0.07246376811594202,0.48906212405330773,0.6519403738502323,0.08143912489846228
control,99,173,0.5722543352601156,0.0722543352601156,0.49774843950848047,0.6436211248839304,0.07293634268772498
during,68,119,0.5714285714285714,0.0714285714285714,0.4816542605596721,0.656735499405765,0.08754061942304647
digital,61,107,0.5700934579439252,0.07009345794392519,0.4754691120338291,0.6598593125429819,0.09219510025457642
effectively,105,185,0.5675675675675675,0.06756756756756754,0.4955207497799992,0.6368654336149173,0.07067234191745905
justify,59,104,0.5673076923076923,0.06730769230769229,0.471370212819946,0.65844998947607,0.09353988832806201
intervention,72,127,0.5669291338582677,0.06692913385826771,0.4800391171053817,0.6498891193513585,0.0849250011229884
threat,77,136,0.5661764705882353,0.06617647058823528,0.4821969927873764,0.6465201998949435,0.08216160355378355
covert,61,108,0.5648148148148148,0.06481481481481477,0.47067829246131926,0.6544989016456084,0.09191030459214458
reduces,79,140,0.5642857142857143,0.06428571428571428,0.4815187166864511,0.6436190575517672,0.08105017043265805
catastrophic,66,117,0.5641025641025641,0.0641025641025641,0.4736292927903717,0.6505002910990215,0.08843549915432491
overall,102,181,0.56353591160221,0.06353591160220995,0.49070700600422934,0.6337239530822341,0.07150847353900236
thereby,137,244,0.5614754098360656,0.061475409836065587,0.4987386911123849,0.6223064324224313,0.06178387065502322
architecture,64,114,0.5614035087719298,0.06140350877192979,0.46978749853445906,0.6490161902530515,0.0896143458592962
strategic,78,139,0.5611510791366906,0.0611510791366906,0.47810978967921686,0.6409032765576643,0.08139674343922373
narrative,74,132,0.5606060606060606,0.06060606060606055,0.47541276788499487,0.6423715973515374,0.08347941473327125
responsible,195,348,0.5603448275862069,0.06034482758620685,0.5078187019375596,0.6115532451342153,0.051867271598327824
respects,79,141,0.5602836879432624,0.06028368794326244,0.47783544408098877,0.639534265796382,0.08084941085769659
hybrid,104,186,0.5591397849462365,0.05913978494623651,0.48730717575485916,0.6285789965104892,0.07063591037781503
plan,57,102,0.5588235294117647,0.05882352941176472,0.4620704483428018,0.6513066737576143,0.09461811270740625
preserves,205,367,0.55858310626703,0.058583106267030005,0.5074341172153324,0.6085183982794117,0.05054214053203965
intent,72,129,0.5581395348837209,0.05813953488372092,0.471992402458324,0.6409241533606435,0.08446587545115972
incremental,82,147,0.5578231292517006,0.05782312925170063,0.47708053917095167,0.635620571869137,0.07927001634909267
cause,83,149,0.5570469798657718,0.057046979865771785,0.4768498255732934,0.6343765401730813,0.07876335729989395
mean,93,167,0.5568862275449101,0.05688622754491013,0.4811070996931829,0.630107122727742,0.07450001151727959
fairness,89,160,0.55625,0.05625000000000002,0.47884499688572035,0.6310173061574854,0.07608615463588253
cultural,195,351,0.5555555555555556,0.05555555555555558,0.5032490908850236,0.6066591485005755,0.05170502880777594
rely,105,189,0.5555555555555556,0.05555555555555558,0.48430747102018323,0.6245902739378967,0.07014140145885672
static,86,155,0.5548387096774193,0.05483870967741933,0.4762137826315126,0.6308111724791691,0.07729869492382824
millions,61,110,0.5545454545454546,0.054545454545454564,0.4613868803652954,0.6440228721476322,0.0913179958911684
network,83,150,0.5533333333333333,0.053333333333333344,0.47343118434916653,0.6305719895849053,0.0785704026178694
manipulation,92,167,0.5508982035928144,0.050898203592814384,0.4751585710332637,0.6243488911328273,0.07459516004978181
present,152,276,0.5507246376811594,0.050724637681159424,0.4917446942259974,0.6083119597022567,0.05828363273812964
mitigation,55,100,0.55,0.050000000000000044,0.45244602997442135,0.6438546202048803,0.09570429511522946
prioritize,78,142,0.5492957746478874,0.04929577464788737,0.46723428340425216,0.6287603680015078,0.08076304229862782
adopt,56,102,0.5490196078431373,0.0490196078431373,0.4524271345292306,0.6420538005544496,0.0948133330126095
equitable,56,102,0.5490196078431373,0.0490196078431373,0.4524271345292306,0.6420538005544496,0.0948133330126095
diverse,68,124,0.5483870967741935,0.048387096774193505,0.46065500744902865,0.6332112555825186,0.08627812406674495
comprehensive,57,104,0.5480769230769231,0.04807692307692313,0.4524179018768031,0.6403108140489229,0.09394645608605989
safe,103,188,0.5478723404255319,0.0478723404255319,0.47647893474142544,0.6173485419189967,0.07043480358878562
valuable,86,157,0.5477707006369427,0.047770700636942665,0.46970333318561913,0.6235562039385871,0.076926435376484
signal,58,106,0.5471698113207547,0.047169811320754707,0.4524175377907479,0.6386227680042075,0.09310261510672979
original,76,139,0.5467625899280576,0.046762589928057596,0.4638590268516676,0.6271509649765357,0.08164596906243404
beneficence,59,108,0.5462962962962963,0.04629629629629628,0.45242531815601683,0.6369869633489315,0.09228082259645731
fully,101,185,0.5459459459459459,0.04594594594594592,0.4739937609007266,0.6160288438078168,0.07101754145354508
right,227,416,0.5456730769230769,0.04567307692307687,0.49762604827714396,0.592884307957658,0.04762912984025702
sustainable,145,266,0.5451127819548872,0.045112781954887216,0.48505308471691433,0.603888029465053,0.05941747237406936
essential,121,222,0.545045045045045,0.04504504504504503,0.479329190772829,0.6092285085284268,0.06494965887779891
analysis,85,156,0.5448717948717948,0.04487179487179482,0.4665858424673086,0.6210009457370258,0.0772075516348586
scale,61,112,0.5446428571428571,0.044642857142857095,0.45246272462138293,0.6338621551047826,0.09069971524169984
guarantee,61,112,0.5446428571428571,0.044642857142857095,0.45246272462138293,0.6338621551047826,0.09069971524169984
defensible,81,149,0.5436241610738255,0.043624161073825496,0.4635544689137371,0.6215009872452554,0.07897325916575915
truthfulness,443,815,0.5435582822085889,0.04355828220858893,0.5092368683182,0.5774710031936492,0.03411706743772458
framework,175,322,0.5434782608695652,0.04347826086956519,0.4888795085262333,0.5970518523918628,0.05408617193281473
behavior,88,162,0.5432098765432098,0.043209876543209846,0.466389374343993,0.6180285999041508,0.0758196127800789
base,63,116,0.5431034482758621,0.0431034482758621,0.4525254808063802,0.630918096219513,0.08919630770656639
never,57,105,0.5428571428571428,0.042857142857142816,0.4477444255355315,0.6349446535848303,0.0936001140246494
adapt,64,118,0.5423728813559322,0.0423728813559322,0.4525651223077117,0.6295087472666532,0.08847181247947075
algorithmic,77,142,0.5422535211267606,0.04225352112676062,0.46027522354900896,0.6220059062273567,0.08086534133917389
tangible,58,107,0.5420560747663551,0.04205607476635509,0.4478346592618962,0.6333623954841904,0.09276386811114709
truthful,91,168,0.5416666666666666,0.04166666666666663,0.4662320377352913,0.6152384065688863,0.07450318441679749
might,121,224,0.5401785714285714,0.0401785714285714,0.47478409044861003,0.6042182127018696,0.06471706112662978
misinformation,74,137,0.5401459854014599,0.04014598540145986,0.4567345143559192,0.6213674883647721,0.08231648700442643
develop,54,100,0.54,0.040000000000000036,0.44264860323368227,0.6343919169097589,0.09587165683803833
freedom,95,176,0.5397727272727273,0.03977272727272729,0.4660740433057615,0.6117723003115816,0.07284912850291003
outcome,62,115,0.5391304347826087,0.03913043478260869,0.4482376584453216,0.6274934886586452,0.08962791510666179
includes,62,115,0.5391304347826087,0.03913043478260869,0.4482376584453216,0.6274934886586452,0.08962791510666179
eroding,69,128,0.5390625,0.0390625,0.4528298312720518,0.6230188440190805,0.08509450637351434
avoid,118,219,0.5388127853881278,0.038812785388127824,0.472690588766734,0.6035968314016952,0.0654531213174806
critical,153,284,0.5387323943661971,0.03873239436619713,0.48062483766563746,0.5958061257200244,0.057590644027193494
concrete,63,117,0.5384615384615384,0.038461538461538436,0.44834691371990076,0.626130836613735,0.08889196144691713
