word,wins,total,win_rate,deviation,ci_lo,ci_hi,ci_half
normalizing,72,104,0.6923076923076923,0.1923076923076923,0.5980794776445407,0.7728353860583624,0.08737795420691086
negotiable,76,117,0.6495726495726496,0.1495726495726496,0.5596196597083499,0.7300160360335676,0.08519818816260882
exploitation,72,117,0.6153846153846154,0.11538461538461542,0.5248976416118192,0.6985356093890887,0.08681898388863474
rights,84,143,0.5874125874125874,0.0874125874125874,0.5054672756247354,0.6647843699308098,0.07965854715303722
choosing,74,126,0.5873015873015873,0.08730158730158732,0.49999785253375945,0.6694395536677615,0.08472085056700104
resource,89,152,0.5855263157894737,0.08552631578947367,0.5060450896743321,0.6607911309100422,0.077373020617855
consent,129,222,0.581081081081081,0.08108108108108103,0.515339957782029,0.6440639009602316,0.06436197158910129
already,61,105,0.580952380952381,0.080952380952381,0.4853569524888766,0.6708335302940296,0.09273828890257649
collaborative,107,185,0.5783783783783784,0.07837837837837835,0.5063344516289751,0.6472335211091281,0.07044953474007654
control,101,175,0.5771428571428572,0.07714285714285718,0.5030645731571901,0.6479071320505498,0.07242127944667986
boundaries,165,286,0.5769230769230769,0.07692307692307687,0.5190174571536235,0.6327896727822628,0.056886107814319686
surveillance,58,101,0.5742574257425742,0.07425742574257421,0.4768501452900997,0.6662230260366542,0.09468644037327723
reducing,70,122,0.5737704918032787,0.07377049180327866,0.4850865658415684,0.6579505553797247,0.08643199476907815
once,59,103,0.5728155339805825,0.07281553398058249,0.4763629976447477,0.6640319404772937,0.09383447141627302
humans,64,112,0.5714285714285714,0.0714285714285714,0.478911377409721,0.659208430152144,0.09014852637121151
means,121,212,0.5707547169811321,0.07075471698113212,0.5034508804652194,0.6355400259339163,0.0660445727343485
collective,82,144,0.5694444444444444,0.06944444444444442,0.48780357786706985,0.6474764725297305,0.07983644733133033
even,548,964,0.5684647302904564,0.06846473029045641,0.5369881183268068,0.5993978556330612,0.031204868653127216
frameworks,88,155,0.567741935483871,0.06774193548387097,0.4890467770690876,0.6431605204205781,0.07705687167574526
respect,187,330,0.5666666666666667,0.06666666666666665,0.5127379424210091,0.6190611461506482,0.05316160186481955
social,82,145,0.5655172413793104,0.06551724137931036,0.4841749387406087,0.6434776665922164,0.07965136392580385
effective,57,101,0.5643564356435643,0.0643564356435643,0.46705646765298536,0.6569402808302014,0.09494190658860802
content,71,126,0.5634920634920635,0.06349206349206349,0.47628657044780054,0.6469406340623964,0.08532703180729795
might,89,158,0.5632911392405063,0.06329113924050633,0.48536137851410316,0.6382163508621395,0.07642748617401815
infrastructure,67,119,0.5630252100840336,0.06302521008403361,0.47331840744696124,0.6487902042872481,0.08773589842014343
vulnerability,67,119,0.5630252100840336,0.06302521008403361,0.47331840744696124,0.6487902042872481,0.08773589842014343
model,103,183,0.5628415300546448,0.06284153005464477,0.4904124957319459,0.632686521719381,0.07113701299371755
introduces,68,121,0.5619834710743802,0.06198347107438018,0.4730239553146009,0.6471284375018274,0.08705224109361323
uphold,166,296,0.5608108108108109,0.060810810810810856,0.5038522050522555,0.6162112449509282,0.05617951994933634
undermining,83,148,0.5608108108108109,0.060810810810810856,0.48031921396461014,0.6382254848271458,0.07895313543126783
standards,90,161,0.5590062111801242,0.05900621118012417,0.48182385896909463,0.6334384065794478,0.0758072738051766
stability,96,172,0.5581395348837209,0.05813953488372092,0.4834575161163485,0.6302813036940241,0.0734118937888378
